No,Soal,A,B,C,D,Jawaban
1,"Pertimbangkan fungsi utama dari perangkat lunak aplikasi; apakah perannya lebih dominan dalam...",mengelola sistem operasi,memproses data atau dokumen,menghubungkan komponen perangkat keras,menjalankan sistem masukan/keluaran dasar (BIOS),A
2,"Dari pilihan berikut, manakah yang paling tepat merepresentasikan contoh perangkat lunak aplikasi pengolah kata?",Microsoft Word,Windows,Mozilla Firefox,WinRAR,A
3,"Ketika berinteraksi dengan aplikasi pengolah kata, elemen apa saja yang secara fundamental dapat dianggap sebagai objek?",Unit Pemroses Sentral (CPU),Papan Tik (Keyboard),"Gambar, tabel, dan teks",Layar Monitor,C
4,"Analisis fungsi esensial dari fitur 'Copy'; apakah tindakan yang dilakukan oleh fitur ini?",Menghapus teks,Menyalin teks ke lokasi lain,Memindahkan teks,Mencetak dokumen,B
5,"Bagaimana Anda membedakan secara fundamental antara fitur 'Cut' dan 'Copy'?",'Cut' menyalin teks, sedangkan 'Copy' menghapus teks,'Cut' menyimpan berkas, sedangkan 'Copy' menyalin berkas,'Cut' memindahkan, sedangkan 'Copy' menyalin,Tidak ada perbedaan signifikan,C
6,"Untuk berhasil memanfaatkan fitur 'Paste', tindakan apa yang harus didahului?",Mengetik dokumen,Menghapus data,Menyalin atau memotong teks,Mencetak dokumen,C
7,"Apakah fungsi utama yang diemban oleh fitur Snipping Tool?",Menyimpan dokumen,Menyunting video,Mengambil tangkapan layar (screenshot),Menyambung berkas,C
8,"Definisikan 'Screenshot' dalam konteks komputasi; apakah makna dari istilah tersebut?",Menghapus tampilan layar,Merekam suara,Mengambil gambar tampilan layar,Memotong video,C
9,"Apa kombinasi tombol pintas (shortcut) pada papan tik yang digunakan untuk melakukan operasi Salin (Copy)?",Ctrl + C,Ctrl + X,Ctrl + V,Ctrl + Z,A
10,"Apakah kombinasi tombol pintas (shortcut) pada papan tik yang digunakan untuk melakukan operasi Potong (Cut)?",Ctrl + A,Ctrl + X,Ctrl + S,Ctrl + V,B
11,"Ketika pertama kali membuka aplikasi pengolah kata, bagaimana kita mengidentifikasi tampilan awal yang disajikan?",Perangkat Keras (Hardware),Layar Utama (Desktop),Antarmuka Aplikasi,Proses Booting,C
12,"Pada umumnya, di mana kita dapat menemukan opsi-opsi menu utama seperti 'File', 'Edit', dan 'View' dalam sebuah antarmuka aplikasi?",Pada bilah menu utama,Pada menu Start, Shutdown, Restart,Pada opsi Copy, Paste, Print Screen,Pada perangkat keras seperti Keyboard, Mouse, Printer,A
13,"Telaah fungsi krusial dari menu “File” dalam sebagian besar aplikasi; apakah esensinya?",Mengedit gambar,Mengetik huruf,Menyimpan, membuka, atau mencetak dokumen,Mengatur volume,C
14,"Apabila Anda bermaksud mengambil tangkapan hanya pada sebagian area layar, fitur mana yang paling efektif untuk digunakan?",Print Screen biasa,Snipping Tool,Paint,Task Manager,B
15,"Salah satu keuntungan yang signifikan dari fitur Paste adalah...",Menghapus teks,Merekam video,Menempelkan teks yang telah disalin,Menyimpan gambar,C
16,"Komponen-komponen fundamental apa saja yang membentuk sebuah sistem komputer?",Perangkat Keras dan Papan Tik,Perangkat Keras dan Tetikus,Perangkat Keras dan Perangkat Lunak,Monitor dan Pencetak,C
17,"Dari daftar berikut, manakah yang secara definitif termasuk dalam kategori perangkat keras komputer?",Windows,Microsoft Word,Monitor,Android,C
18,"Identifikasikan perangkat yang berfungsi sebagai alat masukan (input) pada sebuah komputer.",Pencetak (Printer),Monitor,Papan Tik (Keyboard),Pengeras Suara (Speaker),C
19,"Identifikasikan perangkat yang berfungsi sebagai alat keluaran (output) pada sebuah komputer.",Tetikus (Mouse),Cakram Kilat (Flashdisk),Pengeras Suara (Speaker),Pemindai (Scanner),C
20,"Apakah kepanjangan yang benar dari akronim CPU?",Computer Personal Unit,Central Processing Unit,Core Processing User,Control Panel Utility,B
21,"Apakah tugas utama yang diemban oleh CPU dalam sebuah sistem komputasi?",Menyimpan berkas,Mengolah dan memroses data,Menampilkan gambar,Mengatur kabel komputer,B
22,"Perangkat yang dirancang khusus untuk menyimpan data dalam jangka panjang disebut sebagai...",Monitor,Keyboard,Cakram Keras (Harddisk),Joystick,C
23,"Dari pilihan berikut, manakah yang merupakan salah satu contoh perangkat lunak?",Tetikus (Mouse),PowerPoint,Proyektor,USB,B
24,"Perangkat lunak fundamental yang bertanggung jawab mengatur seluruh operasional komputer adalah...",Permainan (Game),Peramban (Browser),Sistem Operasi,Antivirus,C
25,"Manakah dari berikut ini yang merupakan contoh konkret dari sebuah sistem operasi komputer?",Microsoft Excel,Microsoft Word,Windows,Snipping Tool,C
26,"Apa fungsi inti dari sebuah sistem operasi dalam sebuah komputer?",Menampilkan gambar,Menjalankan perangkat keras dan perangkat lunak,Mencetak dokumen,Merekam suara,B
27,"Sistem operasi spesifik yang umumnya digunakan pada komputer buatan Apple adalah...",Windows,Android,macOS,Linux,C
28,"Pada perangkat apakah sistem operasi Android umumnya diterapkan?",Laptop,Komputer PC,Pencetak (Printer),Telepon Pintar (Smartphone),D
29,"Perangkat keras mana yang secara primer digunakan untuk menampilkan hasil pemrosesan komputer?",Pemindai (Scanner),Monitor,Papan Tik (Keyboard),Tetikus (Mouse),B
30,"Komponen-komponen berikut merupakan bagian integral dari sistem komputer, kecuali...",Perangkat keras,Perangkat lunak,Prosedur,Alat tulis,D
31,"Jelaskan secara mendalam perbedaan fundamental antara fitur 'Cut' dan 'Copy' dalam konteks aplikasi pengolah kata, serta implikasinya terhadap data yang diolah!",,,,
32,"Sebutkan setidaknya tiga jenis objek yang dapat disisipkan atau dimasukkan ke dalam sebuah dokumen pada aplikasi pengolah kata seperti Microsoft Word, dan berikan gambaran singkat mengenai karakteristik masing-masing!",,,,
33,"Analisis dan jelaskan secara komprehensif fungsi dari Snipping Tool dalam sistem operasi Windows, serta bagaimana fitur ini dapat meningkatkan produktivitas pengguna!",,,,
34,"Definisikan secara ringkas apa yang dimaksud dengan perangkat keras (hardware) dalam konteks sistem komputer, kemudian berikan dua contoh konkret yang menggambarkan peran pentingnya!",,,,
35,"Jelaskan secara komprehensif peran dan fungsi utama dari sistem operasi dalam sebuah komputer. Mengapa keberadaan sistem operasi menjadi krusial bagi operasional komputer?",,,,
